filter_sustain,amp_sustain,lfo1_amount,osc1_pulse_width,amp_decay,lfo1_rate,filter_cutoff,lfo1_destination,osc2_wave,osc2_volume,amp_attack,osc1_volume,filter_resonance,filter_attack,filter_decay,osc1_wave
0.629921259843,1.81102362205,2.75590551181,6.37795275591,1.65354330709,8.8188976378,1.49606299213,"FILTER","Sine",3.46456692913,5.5905511811,8.34645669291,5.11811023622,2.12598425197,4.25196850394,"Pulse"
9.29133858268,5.74803149606,0.314960629921,5.03937007874,9.2125984252,0.0787401574803,4.8031496063,"OSC1PITCH","Sine",9.76377952756,7.32283464567,4.96062992126,1.65354330709,4.96062992126,4.25196850394,"Saw"
7.08661417323,3.77952755906,9.92125984252,2.20472440945,6.14173228346,4.0157480315,2.44094488189,"NOTHING","Sine",7.08661417323,2.91338582677,0.0,5.27559055118,8.03149606299,0.314960629921,"Pulse"
0.314960629921,6.14173228346,8.42519685039,1.1811023622,7.00787401575,7.24409448819,2.20472440945,"NOTHING","Noise",9.6062992126,4.56692913386,9.37007874016,7.08661417323,4.25196850394,3.22834645669,"Noise"
3.62204724409,7.16535433071,5.74803149606,7.16535433071,3.46456692913,2.83464566929,0.472440944882,"NOTHING","Triangle",1.65354330709,5.1968503937,3.70078740157,7.00787401575,6.45669291339,9.92125984252,"Pulse"
9.52755905512,5.11811023622,7.48031496063,0.472440944882,5.9842519685,3.54330708661,1.41732283465,"LFO2RATE","Saw",8.89763779528,8.50393700787,0.314960629921,7.95275590551,3.14960629921,3.22834645669,"Pulse"
4.88188976378,3.54330708661,1.73228346457,6.61417322835,0.314960629921,6.61417322835,3.93700787402,"OSC2PITCH","Noise",3.85826771654,9.52755905512,0.236220472441,7.95275590551,6.85039370079,1.65354330709,"Saw"
7.79527559055,8.26771653543,3.77952755906,0.236220472441,6.14173228346,4.56692913386,2.59842519685,"OSC1PITCH","Saw",3.77952755906,6.69291338583,9.6062992126,2.12598425197,6.92913385827,7.63779527559,"Pulse"
6.61417322835,5.9842519685,5.51181102362,9.37007874016,6.92913385827,2.20472440945,3.93700787402,"OSC1PITCH","Saw",6.29921259843,4.25196850394,1.57480314961,8.18897637795,8.8188976378,0.472440944882,"Pulse"
2.20472440945,7.24409448819,2.59842519685,2.44094488189,0.472440944882,0.393700787402,0.0787401574803,"LFO2RATE","Triangle",5.03937007874,8.42519685039,6.22047244094,4.72440944882,4.48818897638,8.89763779528,"Noise"
5.66929133858,0.0,8.89763779528,5.5905511811,9.76377952756,1.41732283465,8.50393700787,"OSC2PITCH","Noise",4.09448818898,1.1811023622,8.66141732283,3.62204724409,9.52755905512,3.22834645669,"Saw"
4.64566929134,1.96850393701,7.32283464567,3.93700787402,8.97637795276,8.11023622047,4.25196850394,"FM","Sine",8.42519685039,5.66929133858,6.92913385827,1.81102362205,3.30708661417,7.95275590551,"Pulse"
3.54330708661,0.157480314961,5.74803149606,4.96062992126,9.84251968504,7.71653543307,4.48818897638,"FILTER","Triangle",7.63779527559,0.314960629921,9.37007874016,9.29133858268,5.1968503937,1.81102362205,"Saw"
